city,date,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,pressure_hpa
Delhi,2015-01-01,16.3,68,6.6,0.0,991.2
Delhi,2015-01-02,15.2,83,7.0,4.2,992.2
Delhi,2015-01-03,15.6,84,5.1,0.1,991.7
Delhi,2015-01-04,14.4,78,10.2,0.0,993.3
Delhi,2015-01-05,14.3,74,18.7,0.0,990.4
Delhi,2015-01-06,15.1,75,12.7,0.0,989.4
Delhi,2015-01-07,13.8,79,6.9,0.0,989.7
Delhi,2015-01-08,13.0,80,6.9,0.0,991.7
Delhi,2015-01-09,12.4,83,6.4,0.0,993.3
Delhi,2015-01-10,11.9,81,9.4,0.0,992.4
Delhi,2015-01-11,11.7,84,8.4,0.0,992.5
Delhi,2015-01-12,11.3,87,4.7,0.0,992.7
Delhi,2015-01-13,11.2,87,8.3,0.0,991.2
Delhi,2015-01-14,12.9,85,12.1,4.1,990.6
Delhi,2015-01-15,12.0,84,5.6,0.0,993.1
Delhi,2015-01-16,13.3,78,7.2,0.0,992.9
Delhi,2015-01-17,13.8,79,7.9,0.0,993.0
Delhi,2015-01-18,13.7,76,6.9,0.0,992.5
Delhi,2015-01-19,13.1,75,5.6,0.0,992.5
Delhi,2015-01-20,12.7,79,8.5,0.0,993.3
Delhi,2015-01-21,12.6,81,11.7,3.8,994.8
Delhi,2015-01-22,12.8,87,9.9,17.0,994.0
Delhi,2015-01-23,14.1,83,5.9,0.0,993.7
Delhi,2015-01-24,14.4,80,8.2,0.0,993.9
Delhi,2015-01-25,13.7,75,6.8,0.0,994.1
Delhi,2015-01-26,13.3,74,6.4,0.0,993.7
Delhi,2015-01-27,12.9,69,10.4,0.0,993.2
Delhi,2015-01-28,11.4,74,11.6,0.0,991.7
Delhi,2015-01-29,10.9,68,10.2,0.0,992.7
Delhi,2015-01-30,11.7,66,12.0,0.0,994.3
Delhi,2015-01-31,13.1,65,11.8,0.0,991.8
Delhi,2015-02-01,13.8,74,8.2,0.0,991.6
Delhi,2015-02-02,15.8,75,14.7,1.2,991.7
Delhi,2015-02-03,17.0,78,11.8,13.2,994.0
Delhi,2015-02-04,13.9,86,10.7,0.0,996.2
Delhi,2015-02-05,14.1,76,11.1,0.0,993.3
Delhi,2015-02-06,13.5,72,5.9,0.0,992.7
Delhi,2015-02-07,14.8,69,5.8,0.0,991.3
Delhi,2015-02-08,15.3,73,6.5,2.1,991.2
Delhi,2015-02-09,15.8,71,9.7,0.0,993.6
Delhi,2015-02-10,15.1,67,10.3,0.0,993.9
Delhi,2015-02-11,14.8,64,7.7,0.0,991.2
Delhi,2015-02-12,15.2,69,8.5,0.0,990.3
Delhi,2015-02-13,16.7,63,10.5,0.0,987.4
Delhi,2015-02-14,18.8,63,6.3,0.0,984.6
Delhi,2015-02-15,18.3,71,4.9,0.0,986.7
Delhi,2015-02-16,19.8,70,14.0,0.0,988.5
Delhi,2015-02-17,20.4,74,10.8,1.6,987.0
Delhi,2015-02-18,19.7,77,7.2,12.0,986.6
Delhi,2015-02-19,20.1,78,11.9,1.6,987.0
Delhi,2015-02-20,21.2,74,10.6,0.0,988.3
Delhi,2015-02-21,20.6,75,11.3,0.0,989.1
Delhi,2015-02-22,20.6,69,15.9,0.0,988.2
Delhi,2015-02-23,20.2,77,6.7,0.0,989.3
Delhi,2015-02-24,20.9,79,7.8,0.1,986.3
Delhi,2015-02-25,21.4,79,10.5,5.2,983.9
Delhi,2015-02-26,18.7,69,7.5,0.0,984.5
Delhi,2015-02-27,17.0,68,9.0,0.0,987.1
Delhi,2015-02-28,18.2,56,9.4,0.2,987.9
Delhi,2015-03-01,17.1,83,20.8,22.9,985.4
Delhi,2015-03-02,16.3,93,15.7,22.8,986.8
Delhi,2015-03-03,15.7,86,5.7,1.0,988.3
Delhi,2015-03-04,15.2,72,9.6,0.0,988.0
Delhi,2015-03-05,16.5,70,5.6,0.0,989.9
Delhi,2015-03-06,18.2,70,7.3,0.0,990.9
Delhi,2015-03-07,18.3,76,6.8,10.5,989.0
Delhi,2015-03-08,18.3,79,10.6,0.9,989.3
Delhi,2015-03-09,16.6,70,11.8,3.9,994.5
Delhi,2015-03-10,16.1,69,10.6,0.0,994.0
Delhi,2015-03-11,17.4,70,9.2,0.0,992.4
Delhi,2015-03-12,18.5,67,8.6,0.0,991.9
Delhi,2015-03-13,18.9,76,5.9,2.9,989.4
Delhi,2015-03-14,20.0,79,8.2,4.1,990.1
Delhi,2015-03-15,18.2,88,12.3,20.6,989.6
Delhi,2015-03-16,18.2,87,11.7,6.7,991.2
Delhi,2015-03-17,19.3,76,11.7,0.0,990.9
Delhi,2015-03-18,18.8,70,13.2,0.0,988.2
Delhi,2015-03-19,19.2,69,8.1,0.0,989.3
Delhi,2015-03-20,20.3,67,9.0,0.0,989.6
Delhi,2015-03-21,22.0,69,7.4,0.0,990.0
Delhi,2015-03-22,23.2,63,11.5,0.0,987.9
Delhi,2015-03-23,24.0,62,10.6,0.0,985.5
Delhi,2015-03-24,24.2,64,7.0,0.0,985.5
Delhi,2015-03-25,25.2,61,6.4,0.0,987.3
Delhi,2015-03-26,26.7,58,5.3,0.0,988.5
Delhi,2015-03-27,27.3,56,7.3,0.0,988.1
Delhi,2015-03-28,25.5,52,6.1,0.0,985.6
Delhi,2015-03-29,25.7,52,13.6,0.4,983.4
Delhi,2015-03-30,22.2,75,17.5,5.1,985.2
Delhi,2015-03-31,22.9,70,8.1,0.1,985.8
Delhi,2015-04-01,24.3,66,6.9,0.6,983.5
Delhi,2015-04-02,26.5,56,9.1,0.0,980.6
Delhi,2015-04-03,23.5,72,9.2,10.8,979.5
Delhi,2015-04-04,20.8,83,5.4,17.8,980.2
Delhi,2015-04-05,22.4,68,5.1,0.0,982.4
Delhi,2015-04-06,23.8,58,6.9,0.0,983.1
Delhi,2015-04-07,22.3,67,6.0,5.5,985.1
Delhi,2015-04-08,23.5,62,6.7,0.3,987.0
Delhi,2015-04-09,24.0,57,10.9,0.0,985.8
Delhi,2015-04-10,25.4,51,10.1,0.0,984.4
Delhi,2015-04-11,26.1,49,5.0,0.1,984.2
Delhi,2015-04-12,24.4,56,8.0,0.0,987.4
Delhi,2015-04-13,23.6,70,10.5,7.1,988.8
Delhi,2015-04-14,24.2,70,9.3,0.6,988.4
Delhi,2015-04-15,25.5,63,8.4,0.0,988.2
Delhi,2015-04-16,26.1,62,7.6,0.0,989.6
Delhi,2015-04-17,27.4,56,10.4,0.0,984.2
Delhi,2015-04-18,29.6,46,8.8,0.0,978.8
Delhi,2015-04-19,31.3,39,6.7,0.0,979.7
Delhi,2015-04-20,31.5,38,11.1,0.1,982.1
Delhi,2015-04-21,31.0,36,9.8,0.0,981.6
Delhi,2015-04-22,30.3,27,11.8,0.0,979.7
Delhi,2015-04-23,30.7,24,7.4,0.0,980.0
Delhi,2015-04-24,31.4,27,7.2,0.0,980.6
Delhi,2015-04-25,29.8,36,16.4,0.3,981.5
Delhi,2015-04-26,28.6,49,17.8,0.0,984.2
Delhi,2015-04-27,29.6,50,14.5,0.9,983.4
Delhi,2015-04-28,29.9,50,11.2,3.9,981.1
Delhi,2015-04-29,29.9,46,8.9,0.0,981.4
Delhi,2015-04-30,30.6,46,14.2,1.1,980.7
Delhi,2015-05-01,30.4,40,11.1,0.0,982.0
Delhi,2015-05-02,30.2,29,9.1,0.0,982.3
Delhi,2015-05-03,30.3,25,6.9,0.0,982.8
Delhi,2015-05-04,30.6,28,7.1,0.0,982.9
Delhi,2015-05-05,31.6,28,8.8,0.0,981.1
Delhi,2015-05-06,32.7,27,8.8,0.0,978.7
Delhi,2015-05-07,33.7,25,11.6,0.0,979.8
Delhi,2015-05-08,34.7,18,11.5,0.0,979.8
Delhi,2015-05-09,34.1,23,6.5,0.0,978.8
Delhi,2015-05-10,33.5,25,9.1,0.0,978.2
Delhi,2015-05-11,32.9,34,6.2,0.8,979.9
Delhi,2015-05-12,31.2,48,8.1,1.3,981.5
Delhi,2015-05-13,30.1,60,6.7,5.8,981.8
Delhi,2015-05-14,29.6,58,6.1,1.3,983.3
Delhi,2015-05-15,29.8,50,8.3,3.5,982.8
Delhi,2015-05-16,30.1,55,4.7,0.0,980.2
Delhi,2015-05-17,31.6,47,7.0,0.0,978.0
Delhi,2015-05-18,34.6,39,7.5,0.3,977.1
Delhi,2015-05-19,34.1,31,9.6,1.4,977.9
Delhi,2015-05-20,33.5,31,11.5,0.0,978.7
Delhi,2015-05-21,33.6,27,11.1,0.0,977.3
Delhi,2015-05-22,34.4,23,11.9,0.0,975.5
Delhi,2015-05-23,34.6,22,11.2,0.0,973.6
Delhi,2015-05-24,35.1,23,8.2,0.0,974.2
Delhi,2015-05-25,35.3,21,10.7,0.0,973.9
Delhi,2015-05-26,35.4,18,10.3,0.0,976.0
Delhi,2015-05-27,33.9,17,11.0,0.0,978.2
Delhi,2015-05-28,34.0,21,7.7,0.0,977.4
Delhi,2015-05-29,35.1,26,10.1,0.0,977.9
Delhi,2015-05-30,35.0,27,9.8,0.0,978.9
Delhi,2015-05-31,34.8,25,10.6,0.1,977.7
Delhi,2015-06-01,33.2,30,6.8,0.2,977.2
Delhi,2015-06-02,32.1,35,6.4,0.3,979.2
Delhi,2015-06-03,31.2,42,11.2,0.5,980.4
Delhi,2015-06-04,30.8,48,9.1,0.0,980.7
Delhi,2015-06-05,32.8,40,8.7,0.1,980.4
Delhi,2015-06-06,33.1,35,10.8,0.0,978.2
Delhi,2015-06-07,34.3,31,8.8,0.0,976.6
Delhi,2015-06-08,35.5,28,9.0,0.0,976.0
Delhi,2015-06-09,36.3,25,18.1,0.0,976.1
Delhi,2015-06-10,36.3,33,18.9,0.5,976.5
Delhi,2015-06-11,35.8,34,15.0,0.1,977.2
Delhi,2015-06-12,35.4,37,13.3,0.0,975.6
Delhi,2015-06-13,34.1,38,9.7,2.4,975.4
Delhi,2015-06-14,29.0,69,6.2,3.7,975.8
Delhi,2015-06-15,29.4,69,6.1,5.6,975.8
Delhi,2015-06-16,31.9,60,5.5,0.0,976.1
Delhi,2015-06-17,32.7,58,5.1,0.4,974.9
Delhi,2015-06-18,34.1,46,5.2,0.0,974.5
Delhi,2015-06-19,34.5,48,8.3,0.1,973.4
Delhi,2015-06-20,32.7,58,17.0,1.1,974.3
Delhi,2015-06-21,32.1,62,11.8,1.7,974.5
Delhi,2015-06-22,31.9,62,10.5,0.6,972.6
Delhi,2015-06-23,33.1,56,8.3,0.0,971.9
Delhi,2015-06-24,31.1,70,7.4,16.8,972.1
Delhi,2015-06-25,26.1,92,7.9,32.6,970.9
Delhi,2015-06-26,29.8,70,10.6,0.0,971.5
Delhi,2015-06-27,31.5,66,13.3,0.0,973.3
Delhi,2015-06-28,32.3,64,8.9,0.4,976.2
Delhi,2015-06-29,30.4,67,15.0,0.0,979.8
Delhi,2015-06-30,28.8,68,8.0,0.4,979.3
Delhi,2015-07-01,30.0,70,5.3,0.8,978.3
Delhi,2015-07-02,30.8,68,7.0,0.6,978.0
Delhi,2015-07-03,32.0,64,12.5,0.3,976.7
Delhi,2015-07-04,31.7,64,13.6,0.6,974.9
Delhi,2015-07-05,31.5,68,12.3,12.3,972.4
Delhi,2015-07-06,29.7,77,8.2,6.3,973.5
Delhi,2015-07-07,27.6,84,7.4,14.6,974.2
Delhi,2015-07-08,28.2,84,6.0,16.5,974.9
Delhi,2015-07-09,27.8,87,4.7,18.7,975.1
Delhi,2015-07-10,26.5,93,7.3,61.6,974.4
Delhi,2015-07-11,24.8,91,12.5,44.1,975.3
Delhi,2015-07-12,25.4,89,10.9,6.4,974.2
Delhi,2015-07-13,27.9,80,7.0,1.6,976.9
Delhi,2015-07-14,29.4,77,13.4,0.8,975.3
Delhi,2015-07-15,30.8,70,15.4,0.0,971.2
Delhi,2015-07-16,30.3,69,11.7,2.3,970.5
Delhi,2015-07-17,28.1,86,8.0,35.2,973.1
Delhi,2015-07-18,28.9,83,5.7,5.3,974.1
Delhi,2015-07-19,28.6,84,6.0,12.5,973.9
Delhi,2015-07-20,27.5,88,7.5,17.4,974.6
Delhi,2015-07-21,28.8,81,9.7,3.4,976.1
Delhi,2015-07-22,29.0,82,10.1,1.8,977.2
Delhi,2015-07-23,29.4,76,12.5,0.3,977.9
Delhi,2015-07-24,28.8,80,9.8,5.6,977.6
